id,time,S,I,R
11,0,9999,1,0
11,1,9999,1,0
11,2,9999,1,0
11,3,9998,2,0
11,4,9998,2,0
11,5,9998,2,0
11,6,9998,2,0
11,7,9998,2,0
11,8,9998,2,0
11,9,9998,2,0
11,10,9998,2,0
11,11,9968,2,30
11,12,9937,3,60
11,13,9906,4,90
11,14,9874,6,120
11,15,9843,7,150
11,16,9812,8,180
11,17,9781,9,210
11,18,9748,12,240
11,19,9715,14,271
11,20,9685,14,301
11,21,9654,15,331
11,22,9622,17,361
11,23,9591,18,391
11,24,9561,18,421
11,25,9526,23,451
11,26,9494,24,482
11,27,9461,25,514
11,28,9428,28,544
11,29,9397,28,575
11,30,9365,30,605
11,31,9334,31,635
11,32,9302,33,665
11,33,9270,35,695
11,34,9234,39,727
11,35,9198,43,759
11,36,9163,46,791
11,37,9129,48,823
11,38,9095,52,853
11,39,9056,60,884
11,40,9021,64,915
11,41,8986,68,946
11,42,8955,69,976
11,43,8924,68,1008
11,44,8887,73,1040
11,45,8851,79,1070
11,46,8815,83,1102
11,47,8780,87,1133
11,48,8745,88,1167
11,49,8706,95,1199
11,50,8667,104,1229
11,51,8632,108,1260
11,52,8598,113,1289
11,53,8557,121,1322
11,54,8517,129,1354
11,55,8481,134,1385
11,56,8442,141,1417
11,57,8408,142,1450
11,58,8370,148,1482
11,59,8335,151,1514
11,60,8296,158,1546
11,61,8260,160,1580
11,62,8220,164,1616
11,63,8178,174,1648
11,64,8139,178,1683
11,65,8104,181,1715
11,66,8057,195,1748
11,67,8016,201,1783
11,68,7972,208,1820
11,69,7931,215,1854
11,70,7886,227,1887
11,71,7841,234,1925
11,72,7800,242,1958
11,73,7755,248,1997
11,74,7716,246,2038
11,75,7670,257,2073
11,76,7624,274,2102
11,77,7580,288,2132
11,78,7534,297,2169
11,79,7492,301,2207
19,0,9999,1,0
19,1,9999,1,0
19,2,9999,1,0
19,3,9999,1,0
19,4,9999,1,0
19,5,9999,1,0
19,6,9999,1,0
19,7,9999,1,0
19,8,9999,1,0
19,9,9999,1,0
19,10,9999,1,0
19,11,9969,1,30
19,12,9939,1,60
19,13,9909,1,90
19,14,9879,1,120
19,15,9848,2,150
19,16,9818,2,180
19,17,9787,3,210
19,18,9756,4,240
19,19,9725,5,270
19,20,9694,6,300
19,21,9662,7,331
19,22,9632,7,361
19,23,9602,7,391
19,24,9572,6,422
19,25,9541,7,452
19,26,9510,8,482
19,27,9479,9,512
19,28,9446,12,542
19,29,9416,12,572
19,30,9386,12,602
