id,time,S,I,R
14,0,9999,1,0
14,1,9999,1,0
14,2,9999,1,0
14,3,9999,1,0
14,4,9999,1,0
14,5,9998,2,0
14,6,9998,2,0
14,7,9998,2,0
14,8,9997,3,0
14,9,9994,6,0
14,10,9994,6,0
14,11,9988,7,5
14,12,9987,8,5
14,13,9985,10,5
14,14,9983,12,5
14,15,9980,15,5
14,16,9976,19,5
14,17,9973,22,5
14,18,9972,22,6
14,19,9966,28,6
14,20,9960,33,7
14,21,9952,41,7
14,22,9949,43,8
14,23,9940,52,8
14,24,9927,64,9
14,25,9919,70,11
14,26,9910,78,12
14,27,9892,95,13
14,28,9877,110,13
14,29,9856,130,14
14,30,9836,150,14
14,31,9806,180,14
14,32,9772,213,15
14,33,9737,246,17
14,34,9705,277,18
14,35,9665,315,20
14,36,9635,343,22
14,37,9579,399,22
14,38,9522,451,27
14,39,9446,525,29
14,40,9356,613,31
14,41,9264,699,37
14,42,9180,774,46
14,43,9069,877,54
14,44,8967,973,60
14,45,8831,1099,70
14,46,8689,1229,82
14,47,8525,1382,93
14,48,8367,1526,107
14,49,8164,1721,115
14,50,7965,1900,135
14,51,7748,2105,147
14,52,7499,2323,178
14,53,7253,2547,200
14,54,6968,2803,229
14,55,6675,3069,256
14,56,6337,3377,286
14,57,6020,3654,326
14,58,5713,3931,356
14,59,5390,4214,396
14,60,5044,4522,434
14,61,4704,4818,478
14,62,4371,5119,510
14,63,4073,5367,560
14,64,3751,5629,620
14,65,3421,5907,672
14,66,3121,6150,729
14,67,2846,6354,800
14,68,2564,6573,863
14,69,2326,6755,919
14,70,2112,6891,997
14,71,1884,7063,1053
14,72,1673,7211,1116
14,73,1512,7298,1190
14,74,1336,7401,1263
14,75,1181,7483,1336
14,76,1050,7542,1408
14,77,937,7587,1476
14,78,838,7608,1554
14,79,750,7623,1627
7,0,9999,1,0
7,1,9999,1,0
7,2,9999,1,0
7,3,9999,1,0
7,4,9998,2,0
7,5,9997,3,0
7,6,9996,4,0
7,7,9996,4,0
7,8,9995,5,0
7,9,9993,7,0
7,10,9991,9,0
7,11,9982,12,6
7,12,9981,13,6
7,13,9977,16,7
7,14,9977,16,7
7,15,9975,18,7
7,16,9970,23,7
7,17,9962,30,8
7,18,9958,34,8
7,19,9952,40,8
7,20,9945,46,9
7,21,9940,51,9
7,22,9931,58,11
7,23,9925,62,13
7,24,9920,67,13
7,25,9909,78,13
7,26,9896,88,16
7,27,9884,99,17
7,28,9876,105,19
7,29,9864,117,19
7,30,9845,133,22
7,31,9827,150,23
7,32,9808,168,24
7,33,9782,192,26
7,34,9757,215,28
7,35,9729,239,32
7,36,9707,260,33
7,37,9672,293,35
7,38,9629,334,37
7,39,9563,398,39
7,40,9504,454,42
7,41,9432,520,48
7,42,9365,580,55
7,43,9274,664,62
7,44,9188,746,66
7,45,9089,832,79
7,46,8973,938,89
7,47,8841,1061,98
7,48,8702,1190,108
7,49,8538,1343,119
7,50,8356,1510,134
7,51,8135,1713,152
7,52,7913,1914,173
7,53,7674,2135,191
7,54,7431,2352,217
7,55,7176,2578,246
7,56,6887,2844,269
7,57,6587,3130,283
7,58,6275,3417,308
7,59,5990,3677,333
7,60,5654,3971,375
7,61,5319,4268,413
7,62,4995,4550,455
7,63,4668,4829,503
7,64,4319,5127,554
7,65,3979,5428,593
7,66,3632,5726,642
7,67,3318,5988,694
7,68,3036,6216,748
7,69,2765,6427,808
7,70,2467,6650,883
7,71,2224,6825,951
7,72,2002,6972,1026
7,73,1797,7114,1089
7,74,1623,7227,1150
7,75,1464,7311,1225
7,76,1289,7425,1286
7,77,1153,7489,1358
7,78,1046,7534,1420
7,79,928,7566,1506
18,0,9999,1,0
18,1,9999,1,0
18,2,9999,1,0
18,3,9998,2,0
18,4,9998,2,0
18,5,9997,3,0
18,6,9995,5,0
18,7,9995,5,0
18,8,9995,5,0
18,9,9994,6,0
18,10,9994,6,0
18,11,9989,6,5
18,12,9988,7,5
18,13,9987,8,5
