id,time,S,I,R
4,0,9999,1,0
4,1,9999,1,0
4,2,9999,1,0
4,3,9999,1,0
4,4,9999,1,0
4,5,9999,1,0
4,6,9999,1,0
4,7,9999,1,0
4,8,9999,1,0
4,9,9999,1,0
4,10,9999,1,0
4,11,9999,1,0
4,12,9999,1,0
4,13,9998,2,0
4,14,9998,2,0
4,15,9997,3,0
4,16,9997,3,0
4,17,9997,3,0
4,18,9996,4,0
4,19,9996,4,0
4,20,9995,5,0
4,21,9994,6,0
4,22,9993,7,0
4,23,9992,8,0
4,24,9992,8,0
4,25,9992,8,0
4,26,9990,10,0
4,27,9988,11,1
4,28,9988,11,1
4,29,9986,13,1
4,30,9985,14,1
4,31,9982,17,1
4,32,9979,19,2
4,33,9976,22,2
4,34,9973,25,2
4,35,9971,27,2
4,36,9968,30,2
4,37,9959,39,2
4,38,9950,47,3
4,39,9944,52,4
4,40,9936,58,6
4,41,9925,69,6
4,42,9913,79,8
4,43,9904,87,9
4,44,9888,103,9
4,45,9867,123,10
4,46,9846,141,13
4,47,9830,155,15
4,48,9813,172,15
4,49,9785,199,16
4,50,9745,237,18
4,51,9714,268,18
4,52,9679,299,22
4,53,9644,329,27
4,54,9605,365,30
4,55,9547,415,38
4,56,9482,475,43
4,57,9388,563,49
4,58,9301,641,58
4,59,9210,727,63
4,60,9096,831,73
4,61,8975,944,81
4,62,8847,1064,89
4,63,8711,1183,106
4,64,8555,1327,118
4,65,8391,1478,131
4,66,8213,1640,147
4,67,8027,1813,160
4,68,7834,1990,176
4,69,7582,2222,196
4,70,7336,2441,223
4,71,7079,2672,249
4,72,6764,2964,272
4,73,6445,3250,305
4,74,6107,3560,333
4,75,5772,3862,366
4,76,5437,4156,407
4,77,5122,4421,457
4,78,4768,4730,502
4,79,4432,5019,549
9,0,9999,1,0
9,1,9999,1,0
9,2,9999,1,0
9,3,9998,2,0
9,4,9998,2,0
9,5,9998,2,0
9,6,9997,3,0
9,7,9997,3,0
9,8,9995,5,0
9,9,9995,5,0
9,10,9995,5,0
9,11,9993,7,0
9,12,9993,7,0
9,13,9992,8,0
9,14,9990,10,0
9,15,9988,12,0
9,16,9988,12,0
9,17,9987,13,0
9,18,9984,16,0
9,19,9980,19,1
9,20,9976,23,1
9,21,9970,28,2
9,22,9963,35,2
9,23,9953,45,2
9,24,9942,56,2
9,25,9931,66,3
9,26,9918,79,3
9,27,9910,87,3
9,28,9894,103,3
9,29,9878,118,4
9,30,9862,134,4
9,31,9837,158,5
9,32,9816,175,9
9,33,9795,196,9
9,34,9762,227,11
9,35,9729,257,14
9,36,9683,299,18
9,37,9648,332,20
9,38,9593,383,24
9,39,9522,450,28
9,40,9462,506,32
9,41,9372,593,35
9,42,9265,694,41
9,43,9174,775,51
9,44,9083,858,59
9,45,8955,981,64
9,46,8819,1107,74
9,47,8674,1241,85
9,48,8501,1402,97
9,49,8308,1583,109
9,50,8117,1764,119
9,51,7907,1953,140
9,52,7684,2152,164
9,53,7432,2386,182
9,54,7179,2618,203
9,55,6900,2873,227
9,56,6582,3162,256
9,57,6244,3470,286
9,58,5914,3757,329
9,59,5582,4056,362
9,60,5233,4361,406
9,61,4882,4673,445
9,62,4548,4959,493
9,63,4184,5276,540
9,64,3854,5540,606
9,65,3535,5806,659
9,66,3234,6041,725
9,67,2940,6278,782
9,68,2655,6501,844
9,69,2382,6701,917
9,70,2152,6856,992
9,71,1934,7015,1051
9,72,1739,7146,1115
9,73,1569,7247,1184
9,74,1404,7341,1255
9,75,1252,7426,1322
9,76,1114,7481,1405
9,77,994,7529,1477
9,78,886,7548,1566
9,79,780,7578,1642
