id,time,S,I,R
0,0,9999,1,0
0,1,9999,1,0
0,2,9999,1,0
0,3,9999,1,0
0,4,9999,1,0
0,5,9998,2,0
0,6,9998,2,0
0,7,9998,2,0
0,8,9998,2,0
0,9,9997,3,0
0,10,9997,3,0
0,11,9967,3,30
0,12,9936,4,60
0,13,9906,4,90
0,14,9876,4,120
0,15,9846,4,150
0,16,9816,3,181
0,17,9786,3,211
0,18,9756,2,242
0,19,9726,2,272
0,20,9696,2,302
0,21,9666,2,332
0,22,9636,2,362
0,23,9606,2,392
0,24,9576,1,423
0,25,9546,1,453
0,26,9516,1,483
0,27,9486,1,513
0,28,9456,1,543
0,29,9426,1,573
0,30,9395,2,603
0,31,9365,2,633
0,32,9335,2,663
0,33,9304,3,693
0,34,9274,3,723
0,35,9243,4,753
0,36,9213,4,783
0,37,9183,4,813
0,38,9153,4,843
0,39,9122,3,875
0,40,9092,3,905
0,41,9060,5,935
0,42,9030,5,965
0,43,8999,5,996
0,44,8969,5,1026
0,45,8940,4,1056
0,46,8909,5,1086
0,47,8880,5,1115
0,48,8850,4,1146
0,49,8820,4,1176
0,50,8788,6,1206
0,51,8757,7,1236
0,52,8727,6,1267
0,53,8697,6,1297
0,54,8667,6,1327
0,55,8637,6,1357
0,56,8607,5,1388
0,57,8577,4,1419
0,58,8547,4,1449
0,59,8517,4,1479
0,60,8487,3,1510
0,61,8457,3,1540
0,62,8428,2,1570
0,63,8398,1,1601
0,64,8368,1,1631
0,65,8338,1,1661
0,66,8308,1,1691
0,67,8278,1,1721
0,68,8248,1,1751
0,69,8218,1,1781
0,70,8188,1,1811
0,71,8158,1,1841
0,72,8128,1,1871
0,73,8098,1,1901
0,74,8068,1,1931
0,75,8038,1,1961
0,76,8008,1,1991
0,77,7978,1,2021
0,78,7948,1,2051
0,79,7918,1,2081
4,0,9999,1,0
4,1,9999,1,0
4,2,9999,1,0
4,3,9999,1,0
4,4,9999,1,0
4,5,9999,1,0
4,6,9999,1,0
4,7,9999,1,0
4,8,9999,1,0
4,9,9999,1,0
4,10,9999,1,0
4,11,9969,1,30
4,12,9938,2,60
4,13,9908,1,91
4,14,9878,1,121
4,15,9848,1,151
4,16,9818,1,181
4,17,9788,1,211
4,18,9758,1,241
4,19,9728,1,271
4,20,9698,1,301
4,21,9667,2,331
4,22,9637,2,361
4,23,9607,2,391
4,24,9577,2,421
4,25,9547,2,451
4,26,9516,3,481
4,27,9486,3,511
4,28,9456,3,541
4,29,9426,3,571
4,30,9396,2,602
4,31,9366,2,632
4,32,9336,2,662
4,33,9306,2,692
4,34,9276,2,722
4,35,9246,2,752
4,36,9216,2,782
4,37,9186,2,812
4,38,9156,2,842
4,39,9126,2,872
4,40,9096,2,902
4,41,9066,2,932
4,42,9035,3,962
4,43,9005,3,992
4,44,8975,3,1022
4,45,8945,3,1052
4,46,8915,3,1082
4,47,8885,3,1112
4,48,8855,3,1142
4,49,8825,3,1172
4,50,8795,3,1202
4,51,8765,3,1232
4,52,8735,3,1262
4,53,8705,3,1292
4,54,8674,4,1322
4,55,8643,5,1352
4,56,8612,6,1382
4,57,8582,6,1412
4,58,8551,7,1442
4,59,8520,8,1472
4,60,8489,9,1502
4,61,8459,9,1532
4,62,8429,9,1562
4,63,8399,9,1592
4,64,8370,8,1622
4,65,8339,9,1652
4,66,8309,9,1682
4,67,8279,9,1712
4,68,8248,10,1742
4,69,8217,11,1772
4,70,8187,11,1802
4,71,8157,11,1832
4,72,8127,11,1862
4,73,8095,13,1892
4,74,8065,13,1922
4,75,8034,14,1952
4,76,8003,14,1983
4,77,7969,16,2015
4,78,7938,16,2046
4,79,7905,19,2076
8,0,9999,1,0
8,1,9999,1,0
8,2,9999,1,0
8,3,9999,1,0
8,4,9999,1,0
8,5,9999,1,0
8,6,9999,1,0
8,7,9998,2,0
8,8,9998,2,0
8,9,9998,2,0
8,10,9998,2,0
8,11,9968,2,30
8,12,9938,2,60
8,13,9908,1,91
8,14,9878,1,121
8,15,9848,1,151
8,16,9818,1,181
8,17,9788,1,211
8,18,9757,2,241
8,19,9727,2,271
8,20,9697,2,301
8,21,9667,2,331
8,22,9637,2,361
8,23,9607,2,391
8,24,9577,2,421
8,25,9547,2,451
8,26,9517,2,481
8,27,9487,2,511
8,28,9457,2,541
8,29,9427,2,571
8,30,9397,2,601
8,31,9367,2,631
8,32,9337,2,661
8,33,9307,2,691
8,34,9276,3,721
8,35,9246,3,751
8,36,9216,3,781
8,37,9186,3,811
8,38,9156,2,842
8,39,9125,3,872
8,40,9095,3,902
8,41,9065,3,932
8,42,9035,3,962
8,43,9005,3,992
8,44,8975,3,1022
8,45,8945,3,1052
8,46,8914,4,1082
8,47,8884,4,1112
8,48,8854,4,1142
8,49,8824,4,1172
8,50,8794,4,1202
8,51,8764,4,1232
8,52,8735,4,1261
8,53,8705,4,1291
8,54,8674,5,1321
8,55,8643,6,1351
8,56,8612,7,1381
8,57,8581,7,1412
8,58,8551,7,1442
8,59,8521,7,1472
8,60,8491,7,1502
8,61,8459,9,1532
8,62,8426,12,1562
8,63,8396,12,1592
8,64,8364,14,1622
8,65,8333,15,1652
8,66,8302,15,1683
8,67,8272,15,1713
8,68,8239,18,1743
8,69,8208,19,1773
8,70,8178,18,1804
8,71,8148,18,1834
8,72,8116,19,1865
8,73,8085,19,1896
8,74,8054,20,1926
8,75,8023,20,1957
8,76,7992,21,1987
8,77,7961,22,2017
8,78,7929,24,2047
8,79,7899,24,2077
11,0,9999,1,0
11,1,9999,1,0
11,2,9998,2,0
11,3,9998,2,0
11,4,9998,2,0
11,5,9998,2,0
11,6,9997,3,0
11,7,9997,2,1
11,8,9997,2,1
