id,time,S,I,R
10,0,9999,1,0
10,1,9999,1,0
10,2,9999,1,0
10,3,9999,1,0
10,4,9999,1,0
10,5,9999,1,0
10,6,9999,1,0
10,7,9999,1,0
10,8,9999,0,1
10,9,9999,0,1
10,10,9999,0,1
10,11,9969,0,31
10,12,9939,0,61
10,13,9909,0,91
10,14,9879,0,121
10,15,9849,0,151
10,16,9819,0,181
10,17,9789,0,211
10,18,9759,0,241
10,19,9729,0,271
10,20,9699,0,301
10,21,9669,0,331
10,22,9639,0,361
10,23,9609,0,391
10,24,9579,0,421
10,25,9549,0,451
10,26,9519,0,481
10,27,9489,0,511
10,28,9459,0,541
10,29,9429,0,571
10,30,9399,0,601
10,31,9369,0,631
10,32,9339,0,661
10,33,9310,0,690
10,34,9280,0,720
10,35,9250,0,750
10,36,9220,0,780
10,37,9190,0,810
10,38,9160,0,840
10,39,9130,0,870
10,40,9100,0,900
10,41,9070,0,930
10,42,9040,0,960
10,43,9010,0,990
10,44,8980,0,1020
10,45,8950,0,1050
10,46,8920,0,1080
10,47,8890,0,1110
10,48,8860,0,1140
10,49,8830,0,1170
10,50,8800,0,1200
10,51,8770,0,1230
10,52,8740,0,1260
10,53,8710,0,1290
10,54,8680,0,1320
10,55,8650,0,1350
10,56,8620,0,1380
10,57,8590,0,1410
10,58,8560,0,1440
10,59,8530,0,1470
10,60,8500,0,1500
10,61,8470,0,1530
10,62,8440,0,1560
10,63,8410,0,1590
10,64,8380,0,1620
10,65,8350,0,1650
10,66,8320,0,1680
10,67,8290,0,1710
10,68,8260,0,1740
10,69,8230,0,1770
10,70,8200,0,1800
10,71,8170,0,1830
10,72,8140,0,1860
10,73,8110,0,1890
10,74,8080,0,1920
10,75,8050,0,1950
10,76,8020,0,1980
10,77,7990,0,2010
10,78,7960,0,2040
10,79,7930,0,2070
5,0,9999,1,0
5,1,9998,2,0
5,2,9998,2,0
5,3,9998,2,0
5,4,9997,3,0
5,5,9997,2,1
5,6,9997,2,1
5,7,9997,2,1
5,8,9997,2,1
5,9,9997,2,1
5,10,9997,2,1
5,11,9966,3,31
5,12,9935,4,61
5,13,9904,5,91
5,14,9874,5,121
5,15,9843,6,151
5,16,9813,6,181
5,17,9782,7,211
5,18,9752,7,241
5,19,9720,9,271
5,20,9690,9,301
5,21,9659,10,331
5,22,9628,11,361
5,23,9596,13,391
5,24,9566,13,421
5,25,9535,14,451
5,26,9502,17,481
5,27,9468,21,511
5,28,9433,26,541
5,29,9400,29,571
5,30,9363,36,601
5,31,9328,40,632
5,32,9290,48,662
5,33,9252,56,692
5,34,9209,69,722
5,35,9172,75,753
5,36,9133,82,785
5,37,9091,91,818
5,38,9043,107,850
5,39,8994,121,885
5,40,8944,140,916
5,41,8890,162,948
5,42,8845,174,981
5,43,8791,195,1014
5,44,8738,216,1046
5,45,8687,233,1080
5,46,8620,267,1113
5,47,8556,293,1151
5,48,8489,325,1186
5,49,8412,361,1227
5,50,8339,399,1262
5,51,8260,440,1300
5,52,8187,475,1338
5,53,8097,527,1376
5,54,7997,590,1413
5,55,7896,651,1453
5,56,7788,715,1497
5,57,7676,783,1541
5,58,7550,871,1579
5,59,7416,952,1632
5,60,7286,1032,1682
5,61,7166,1106,1728
5,62,7008,1208,1784
5,63,6864,1290,1846
5,64,6708,1399,1893
5,65,6560,1500,1940
5,66,6358,1621,2021
5,67,6181,1743,2076
5,68,5994,1874,2132
5,69,5800,2010,2190
5,70,5600,2139,2261
5,71,5413,2262,2325
5,72,5213,2393,2394
5,73,5011,2516,2473
5,74,4817,2636,2547
5,75,4612,2751,2637
5,76,4402,2875,2723
5,77,4201,2987,2812
5,78,3999,3107,2894
5,79,3794,3226,2980
9,0,9999,1,0
9,1,9999,1,0
9,2,9998,2,0
9,3,9998,2,0
9,4,9998,2,0
9,5,9997,3,0
9,6,9997,3,0
9,7,9997,3,0
9,8,9996,4,0
9,9,9994,6,0
9,10,9992,8,0
9,11,9959,11,30
9,12,9928,12,60
9,13,9896,14,90
9,14,9865,14,121
9,15,9834,14,152
9,16,9801,17,182
9,17,9768,20,212
9,18,9734,24,242
9,19,9702,26,272
9,20,9669,29,302
9,21,9632,36,332
9,22,9598,38,364
9,23,9565,40,395
9,24,9525,50,425
9,25,9488,57,455
9,26,9450,65,485
9,27,9412,73,515
9,28,9375,79,546
9,29,9336,87,577
9,30,9288,105,607
9,31,9243,118,639
9,32,9195,133,672
9,33,9145,149,706
9,34,9101,158,741
9,35,9050,175,775
9,36,8992,201,807
9,37,8934,226,840
9,38,8872,255,873
9,39,8809,279,912
9,40,8737,319,944
9,41,8661,356,983
9,42,8579,400,1021
9,43,8497,445,1058
9,44,8421,484,1095
9,45,8337,528,1135
9,46,8232,587,1181
9,47,8123,650,1227
9,48,8013,716,1271
9,49,7912,771,1317
9,50,7799,844,1357
9,51,7665,932,1403
9,52,7522,1030,1448
9,53,7364,1135,1501
9,54,7207,1233,1560
9,55,7055,1331,1614
9,56,6902,1430,1668
9,57,6737,1534,1729
9,58,6552,1666,1782
9,59,6350,1811,1839
9,60,6144,1954,1902
9,61,5934,2103,1963
9,62,5736,2238,2026
9,63,5528,2375,2097
9,64,5305,2526,2169
9,65,5083,2674,2243
9,66,4848,2835,2317
9,67,4598,2999,2403
9,68,4337,3172,2491
9,69,4116,3299,2585
9,70,3882,3433,2685
9,71,3662,3566,2772
9,72,3451,3674,2875
9,73,3262,3770,2968
9,74,3072,3860,3068
9,75,2870,3950,3180
9,76,2671,4039,3290
9,77,2513,4096,3391
9,78,2344,4155,3501
9,79,2209,4170,3621
0,0,9999,1,0
0,1,9999,1,0
0,2,9999,1,0
0,3,9999,1,0
0,4,9999,1,0
0,5,9999,1,0
0,6,9998,1,1
0,7,9998,1,1
0,8,9998,1,1
0,9,9998,1,1
0,10,9998,1,1
0,11,9968,1,31
0,12,9938,1,61
0,13,9908,1,91
0,14,9877,2,121
0,15,9847,2,151
0,16,9817,2,181
0,17,9786,3,211
0,18,9755,4,241
0,19,9724,5,271
0,20,9694,5,301
0,21,9664,5,331
0,22,9633,6,361
0,23,9602,7,391
0,24,9570,9,421
0,25,9537,12,451
0,26,9505,14,481
0,27,9475,14,511
0,28,9442,16,542
0,29,9412,16,572
0,30,9381,17,602
0,31,9348,18,634
0,32,9316,20,664
0,33,9284,22,694
0,34,9253,22,725
0,35,9221,24,755
0,36,9188,27,785
0,37,9155,29,816
0,38,9121,33,846
0,39,9089,34,877
0,40,9056,37,907
0,41,9022,39,939
0,42,8985,45,970
0,43,8950,50,1000
0,44,8913,56,1031
0,45,8872,66,1062
0,46,8830,77,1093
0,47,8788,89,1123
0,48,8747,98,1155
0,49,8702,110,1188
0,50,8657,122,1221
0,51,8606,139,1255
0,52,8557,155,1288
0,53,8511,165,1324
0,54,8457,186,1357
0,55,8409,200,1391
0,56,8352,224,1424
0,57,8281,257,1462
0,58,8216,288,1496
0,59,8146,324,1530
0,60,8077,355,1568
0,61,8001,397,1602
0,62,7930,426,1644
0,63,7853,466,1681
0,64,7762,517,1721
0,65,7676,565,1759
0,66,7579,618,1803
0,67,7484,671,1845
0,68,7373,739,1888
0,69,7266,803,1931
0,70,7163,859,1978
0,71,7037,940,2023
0,72,6914,1018,2068
0,73,6785,1098,2117
0,74,6637,1186,2177
0,75,6489,1290,2221
0,76,6333,1394,2273
0,77,6188,1479,2333
0,78,6001,1608,2391
0,79,5827,1707,2466
3,0,9999,1,0
3,1,9999,1,0
3,2,9999,1,0
3,3,9999,1,0
3,4,9999,1,0
3,5,9999,1,0
3,6,9999,1,0
3,7,9999,1,0
3,8,9999,1,0
