id,time,S,I,R
9,0,9999,1,0
9,1,9999,1,0
9,2,9999,1,0
9,3,9999,0,1
9,4,9999,0,1
9,5,9999,0,1
9,6,9999,0,1
9,7,9999,0,1
9,8,9999,0,1
9,9,9999,0,1
9,10,9999,0,1
9,11,9969,0,31
9,12,9939,0,61
9,13,9909,0,91
9,14,9879,0,121
9,15,9849,0,151
9,16,9819,0,181
9,17,9789,0,211
9,18,9759,0,241
9,19,9729,0,271
9,20,9699,0,301
9,21,9669,0,331
9,22,9639,0,361
9,23,9609,0,391
9,24,9579,0,421
9,25,9549,0,451
9,26,9519,0,481
9,27,9489,0,511
9,28,9459,0,541
9,29,9429,0,571
9,30,9399,0,601
9,31,9369,0,631
9,32,9339,0,661
9,33,9309,0,691
9,34,9279,0,721
9,35,9249,0,751
9,36,9219,0,781
9,37,9189,0,811
9,38,9159,0,841
9,39,9129,0,871
9,40,9099,0,901
9,41,9069,0,931
9,42,9039,0,961
9,43,9009,0,991
9,44,8979,0,1021
9,45,8949,0,1051
9,46,8919,0,1081
9,47,8889,0,1111
9,48,8859,0,1141
9,49,8829,0,1171
9,50,8799,0,1201
9,51,8769,0,1231
9,52,8739,0,1261
9,53,8709,0,1291
9,54,8679,0,1321
9,55,8649,0,1351
9,56,8619,0,1381
9,57,8589,0,1411
9,58,8559,0,1441
9,59,8529,0,1471
9,60,8499,0,1501
9,61,8469,0,1531
9,62,8439,0,1561
9,63,8409,0,1591
9,64,8379,0,1621
9,65,8349,0,1651
9,66,8319,0,1681
9,67,8289,0,1711
9,68,8259,0,1741
9,69,8229,0,1771
9,70,8199,0,1801
9,71,8169,0,1831
9,72,8139,0,1861
9,73,8109,0,1891
9,74,8079,0,1921
9,75,8049,0,1951
9,76,8019,0,1981
9,77,7989,0,2011
9,78,7959,0,2041
9,79,7929,0,2071
6,0,9999,1,0
6,1,9998,2,0
6,2,9998,2,0
6,3,9998,2,0
6,4,9997,3,0
6,5,9997,3,0
6,6,9995,5,0
6,7,9995,5,0
6,8,9995,5,0
6,9,9995,5,0
6,10,9993,7,0
6,11,9962,8,30
6,12,9932,8,60
6,13,9902,8,90
6,14,9871,9,120
6,15,9839,11,150
6,16,9807,12,181
6,17,9776,13,211
6,18,9745,14,241
6,19,9711,18,271
6,20,9680,19,301
6,21,9648,20,332
6,22,9615,23,362
6,23,9582,26,392
6,24,9546,31,423
6,25,9509,37,454
6,26,9473,43,484
6,27,9436,50,514
6,28,9401,54,545
6,29,9360,63,577
6,30,9324,69,607
6,31,9285,77,638
6,32,9249,81,670
6,33,9209,91,700
6,34,9167,98,735
6,35,9128,104,768
6,36,9084,118,798
6,37,9040,132,828
6,38,8995,144,861
6,39,8940,163,897
6,40,8890,181,929
6,41,8836,198,966
6,42,8773,226,1001
6,43,8719,247,1034
6,44,8664,269,1067
6,45,8608,288,1104
6,46,8549,316,1135
6,47,8483,346,1171
6,48,8405,390,1205
6,49,8321,438,1241
6,50,8229,491,1280
6,51,8132,545,1323
6,52,8026,617,1357
6,53,7909,696,1395
6,54,7788,770,1442
6,55,7657,858,1485
6,56,7538,935,1527
6,57,7400,1026,1574
6,58,7251,1127,1622
6,59,7102,1229,1669
6,60,6966,1312,1722
6,61,6802,1423,1775
6,62,6626,1543,1831
6,63,6442,1677,1881
6,64,6241,1819,1940
6,65,6068,1929,2003
6,66,5861,2077,2062
6,67,5650,2223,2127
6,68,5477,2327,2196
6,69,5268,2461,2271
6,70,5046,2605,2349
6,71,4823,2755,2422
6,72,4605,2895,2500
6,73,4378,3035,2587
6,74,4144,3192,2664
6,75,3940,3314,2746
6,76,3734,3436,2830
6,77,3519,3557,2924
6,78,3320,3668,3012
6,79,3109,3768,3123
0,0,9999,1,0
0,1,9999,1,0
