id,time,S,I,R
0,0,9999,1,0
0,1,9999,1,0
0,2,9999,1,0
0,3,9998,2,0
0,4,9998,2,0
0,5,9997,3,0
0,6,9996,4,0
0,7,9995,5,0
0,8,9995,4,1
0,9,9995,3,2
0,10,9994,4,2
0,11,9963,5,32
0,12,9934,4,62
0,13,9904,4,92
0,14,9873,5,122
0,15,9841,7,152
0,16,9811,6,183
0,17,9780,7,213
0,18,9746,11,243
0,19,9715,12,273
0,20,9683,14,303
0,21,9651,16,333
0,22,9620,17,363
0,23,9589,16,395
0,24,9558,17,425
0,25,9526,19,455
0,26,9495,19,486
0,27,9464,20,516
0,28,9432,22,546
0,29,9400,23,577
0,30,9365,29,606
0,31,9331,33,636
0,32,9293,41,666
0,33,9256,47,697
0,34,9218,55,727
0,35,9185,57,758
0,36,9145,66,789
0,37,9105,75,820
0,38,9054,95,851
0,39,9000,117,883
0,40,8957,128,915
0,41,8911,141,948
0,42,8864,155,981
0,43,8813,170,1017
0,44,8762,187,1051
0,45,8711,205,1084
0,46,8652,228,1120
0,47,8593,255,1152
0,48,8533,280,1187
0,49,8467,309,1224
0,50,8398,339,1263
0,51,8342,355,1303
0,52,8273,387,1340
0,53,8197,425,1378
0,54,8118,468,1414
0,55,8024,527,1449
0,56,7940,567,1493
0,57,7850,615,1535
0,58,7756,671,1573
0,59,7658,730,1612
0,60,7547,797,1656
0,61,7434,870,1696
0,62,7291,966,1743
0,63,7154,1057,1789
0,64,7023,1134,1843
0,65,6876,1226,1898
0,66,6718,1319,1963
0,67,6566,1422,2012
0,68,6411,1523,2066
0,69,6224,1650,2126
0,70,6042,1761,2197
0,71,5846,1891,2263
0,72,5639,2030,2331
0,73,5444,2152,2404
0,74,5235,2291,2474
0,75,5021,2425,2554
0,76,4835,2533,2632
0,77,4631,2664,2705
0,78,4459,2756,2785
0,79,4211,2913,2876
9,0,9999,1,0
9,1,9998,2,0
9,2,9998,2,0
9,3,9998,2,0
9,4,9998,2,0
9,5,9998,2,0
9,6,9997,3,0
9,7,9996,4,0
9,8,9994,6,0
9,9,9992,8,0
9,10,9990,10,0
9,11,9960,9,31
9,12,9927,11,62
9,13,9895,12,93
9,14,9865,12,123
9,15,9833,14,153
9,16,9802,15,183
9,17,9766,21,213
9,18,9734,23,243
9,19,9701,26,273
9,20,9667,30,303
9,21,9631,36,333
9,22,9598,39,363
9,23,9559,47,394
9,24,9519,56,425
9,25,9482,61,457
9,26,9445,67,488
9,27,9405,77,518
9,28,9364,88,548
9,29,9319,101,580
9,30,9276,112,612
9,31,9230,127,643
9,32,9184,140,676
9,33,9135,156,709
9,34,9081,178,741
9,35,9028,200,772
9,36,8974,216,810
9,37,8914,238,848
9,38,8851,267,882
9,39,8775,307,918
9,40,8707,338,955
9,41,8631,379,990
9,42,8550,418,1032
9,43,8471,463,1066
9,44,8374,524,1102
9,45,8269,589,1142
9,46,8163,657,1180
9,47,8069,710,1221
9,48,7944,786,1270
9,49,7823,860,1317
9,50,7685,952,1363
9,51,7535,1051,1414
9,52,7398,1139,1463
9,53,7246,1241,1513
9,54,7106,1328,1566
9,55,6940,1446,1614
9,56,6744,1582,1674
9,57,6546,1716,1738
9,58,6350,1859,1791
9,59,6163,1985,1852
9,60,5950,2125,1925
9,61,5730,2275,1995
9,62,5510,2431,2059
9,63,5287,2581,2132
9,64,5052,2750,2198
9,65,4816,2896,2288
9,66,4598,3034,2368
9,67,4368,3177,2455
9,68,4142,3321,2537
9,69,3897,3468,2635
9,70,3698,3572,2730
9,71,3490,3675,2835
9,72,3288,3769,2943
9,73,3079,3890,3031
9,74,2849,4023,3128
9,75,2656,4116,3228
9,76,2478,4186,3336
9,77,2310,4230,3460
9,78,2151,4274,3575
9,79,2025,4296,3679
8,0,9999,1,0
8,1,9999,1,0
8,2,9999,1,0
8,3,9999,1,0
8,4,9999,1,0
8,5,9999,1,0
8,6,9999,1,0
8,7,9999,1,0
8,8,9999,1,0
8,9,9999,1,0
8,10,9998,2,0
8,11,9967,3,30
8,12,9935,5,60
8,13,9902,8,90
8,14,9869,11,120
8,15,9837,13,150
8,16,9803,17,180
8,17,9771,18,211
8,18,9740,19,241
8,19,9707,22,271
8,20,9674,25,301
8,21,9640,29,331
8,22,9603,35,362
8,23,9572,34,394
8,24,9537,39,424
8,25,9498,48,454
8,26,9460,56,484
8,27,9424,63,513
8,28,9391,64,545
8,29,9349,76,575
8,30,9307,86,607
8,31,9269,93,638
8,32,9227,103,670
8,33,9188,111,701
8,34,9129,138,733
8,35,9075,159,766
8,36,9024,177,799
8,37,8970,194,836
8,38,8911,221,868
8,39,8848,251,901
8,40,8784,284,932
8,41,8708,328,964
8,42,8634,367,999
8,43,8557,409,1034
8,44,8473,458,1069
8,45,8399,490,1111
8,46,8296,558,1146
8,47,8191,625,1184
8,48,8093,685,1222
8,49,7972,768,1260
8,50,7846,849,1305
8,51,7716,932,1352
8,52,7572,1034,1394
8,53,7435,1123,1442
8,54,7263,1243,1494
8,55,7125,1322,1553
8,56,6929,1459,1612
8,57,6776,1546,1678
8,58,6589,1668,1743
8,59,6389,1807,1804
8,60,6174,1959,1867
8,61,5963,2105,1932
8,62,5754,2242,2004
8,63,5521,2417,2062
8,64,5306,2558,2136
8,65,5068,2695,2237
8,66,4843,2831,2326
8,67,4634,2956,2410
8,68,4441,3054,2505
8,69,4231,3172,2597
8,70,3980,3329,2691
8,71,3779,3436,2785
8,72,3579,3545,2876
8,73,3389,3637,2974
8,74,3206,3723,3071
8,75,3037,3798,3165
8,76,2848,3895,3257
8,77,2686,3967,3347
8,78,2512,4023,3465
8,79,2352,4063,3585
6,0,9999,1,0
6,1,9999,1,0
