id,time,S,I,R
7,0,4999,1,0
7,1,4999,1,0
7,2,4998,2,0
7,3,4994,5,1
7,4,4993,6,1
7,5,4987,12,1
7,6,4980,18,2
7,7,4967,29,4
7,8,4950,45,5
7,9,4933,62,5
7,10,4888,106,6
7,11,4800,159,41
7,12,4688,239,73
7,13,4536,355,109
7,14,4306,549,145
7,15,4006,806,188
7,16,3579,1184,237
7,17,3073,1640,287
7,18,2493,2149,358
7,19,1914,2651,435
7,20,1363,3124,513
7,21,921,3473,606
7,22,602,3706,692
7,23,379,3814,807
7,24,218,3868,914
7,25,134,3857,1009
7,26,80,3825,1095
7,27,48,3759,1193
7,28,30,3677,1293
7,29,19,3592,1389
7,30,12,3488,1500
7,31,9,3400,1591
7,32,8,3325,1667
7,33,5,3239,1756
7,34,4,3162,1834
7,35,2,3068,1930
7,36,2,2977,2021
7,37,0,2902,2098
7,38,0,2830,2170
7,39,0,2746,2254
7,40,0,2669,2331
7,41,0,2596,2404
7,42,0,2511,2489
7,43,0,2434,2566
7,44,0,2362,2638
7,45,0,2302,2698
7,46,0,2241,2759
7,47,0,2182,2818
7,48,0,2119,2881
7,49,0,2064,2936
7,50,0,2010,2990
7,51,0,1948,3052
7,52,0,1896,3104
7,53,0,1843,3157
7,54,0,1793,3207
7,55,0,1732,3268
7,56,0,1687,3313
7,57,0,1642,3358
7,58,0,1599,3401
7,59,0,1549,3451
7,60,0,1511,3489
7,61,0,1470,3530
7,62,0,1426,3574
7,63,0,1388,3612
7,64,0,1335,3665
7,65,0,1290,3710
7,66,0,1257,3743
7,67,0,1221,3779
7,68,0,1179,3821
7,69,0,1130,3870
7,70,0,1097,3903
7,71,0,1062,3938
7,72,0,1029,3971
7,73,0,1000,4000
7,74,0,967,4033
7,75,0,940,4060
7,76,0,912,4088
7,77,0,888,4112
7,78,0,863,4137
7,79,0,838,4162
4,0,4999,1,0
4,1,4999,1,0
4,2,4999,1,0
4,3,4998,2,0
4,4,4996,4,0
4,5,4991,9,0
4,6,4984,16,0
4,7,4969,31,0
4,8,4953,46,1
4,9,4927,72,1
4,10,4885,111,4
4,11,4799,166,35
4,12,4686,244,70
4,13,4525,370,105
4,14,4279,580,141
4,15,3950,870,180
4,16,3525,1252,223
4,17,3018,1705,277
4,18,2475,2182,343
4,19,1923,2653,424
4,20,1370,3107,523
4,21,955,3422,623
4,22,595,3679,726
4,23,384,3791,825
4,24,236,3825,939
4,25,153,3804,1043
4,26,90,3772,1138
4,27,56,3707,1237
4,28,38,3629,1333
4,29,19,3531,1450
4,30,9,3442,1549
4,31,6,3360,1634
4,32,4,3271,1725
4,33,3,3184,1813
4,34,3,3101,1896
4,35,2,3001,1997
4,36,2,2918,2080
4,37,2,2834,2164
4,38,1,2764,2235
4,39,1,2693,2306
4,40,1,2613,2386
4,41,0,2554,2446
4,42,0,2475,2525
4,43,0,2415,2585
4,44,0,2335,2665
4,45,0,2272,2728
4,46,0,2205,2795
4,47,0,2137,2863
4,48,0,2083,2917
4,49,0,2028,2972
4,50,0,1982,3018
4,51,0,1935,3065
4,52,0,1883,3117
4,53,0,1827,3173
4,54,0,1769,3231
4,55,0,1724,3276
4,56,0,1682,3318
4,57,0,1643,3357
4,58,0,1596,3404
4,59,0,1550,3450
4,60,0,1504,3496
4,61,0,1463,3537
4,62,0,1425,3575
4,63,0,1390,3610
4,64,0,1345,3655
4,65,0,1318,3682
4,66,0,1287,3713
4,67,0,1255,3745
4,68,0,1219,3781
4,69,0,1179,3821
4,70,0,1139,3861
4,71,0,1109,3891
4,72,0,1071,3929
4,73,0,1040,3960
4,74,0,1014,3986
4,75,0,981,4019
4,76,0,949,4051
4,77,0,915,4085
4,78,0,891,4109
4,79,0,869,4131
1,0,4999,1,0
1,1,4999,1,0
1,2,4997,3,0
1,3,4995,5,0
1,4,4991,9,0
1,5,4985,15,0
1,6,4977,23,0
1,7,4962,37,1
1,8,4945,53,2
1,9,4916,80,4
1,10,4861,135,4
1,11,4762,201,37
1,12,4612,317,71
1,13,4403,489,108
1,14,4117,732,151
1,15,3707,1095,198
1,16,3231,1520,249
1,17,2632,2053,315
1,18,2037,2592,371
1,19,1493,3050,457
1,20,996,3464,540
1,21,634,3739,627
1,22,388,3881,731
1,23,241,3914,845
1,24,143,3922,935
1,25,85,3865,1050
