id,time,S,I,R
3,0,4999,1,0
3,1,4998,2,0
3,2,4998,2,0
3,3,4995,5,0
3,4,4992,8,0
3,5,4988,12,0
3,6,4973,26,1
3,7,4960,39,1
3,8,4933,65,2
3,9,4892,104,4
3,10,4831,162,7
3,11,4709,248,43
3,12,4548,377,75
3,13,4337,551,112
3,14,4018,828,154
3,15,3607,1196,197
3,16,3104,1639,257
3,17,2499,2178,323
3,18,1923,2673,404
3,19,1380,3133,487
3,20,939,3494,567
3,21,598,3732,670
3,22,382,3848,770
3,23,243,3888,869
3,24,160,3884,956
3,25,92,3852,1056
3,26,62,3785,1153
3,27,44,3705,1251
3,28,26,3635,1339
3,29,16,3547,1437
3,30,8,3479,1513
3,31,7,3401,1592
3,32,5,3313,1682
3,33,4,3229,1767
3,34,1,3160,1839
3,35,0,3078,1922
3,36,0,3009,1991
3,37,0,2942,2058
3,38,0,2866,2134
3,39,0,2783,2217
3,40,0,2702,2298
3,41,0,2638,2362
3,42,0,2551,2449
3,43,0,2473,2527
3,44,0,2409,2591
3,45,0,2348,2652
3,46,0,2289,2711
3,47,0,2216,2784
3,48,0,2150,2850
3,49,0,2093,2907
3,50,0,2040,2960
3,51,0,1985,3015
3,52,0,1925,3075
3,53,0,1875,3125
3,54,0,1828,3172
3,55,0,1777,3223
3,56,0,1735,3265
3,57,0,1683,3317
3,58,0,1636,3364
3,59,0,1591,3409
3,60,0,1556,3444
3,61,0,1516,3484
3,62,0,1479,3521
3,63,0,1449,3551
3,64,0,1403,3597
3,65,0,1359,3641
3,66,0,1328,3672
3,67,0,1287,3713
3,68,0,1246,3754
3,69,0,1208,3792
3,70,0,1172,3828
3,71,0,1133,3867
3,72,0,1097,3903
3,73,0,1057,3943
3,74,0,1032,3968
3,75,0,1003,3997
3,76,0,975,4025
3,77,0,937,4063
3,78,0,906,4094
3,79,0,868,4132
1,0,4999,1,0
1,1,4997,3,0
1,2,4995,5,0
1,3,4987,13,0
1,4,4983,17,0
1,5,4979,21,0
1,6,4965,34,1
1,7,4948,50,2
1,8,4913,84,3
1,9,4860,135,5
1,10,4771,220,9
1,11,4602,355,43
1,12,4396,525,79
1,13,4079,805,116
1,14,3695,1142,163
1,15,3196,1589,215
1,16,2598,2134,268
1,17,1957,2704,339
1,18,1380,3207,413
1,19,931,3565,504
1,20,603,3781,616
1,21,384,3900,716
1,22,233,3950,817
1,23,138,3950,912
1,24,87,3896,1017
1,25,61,3820,1119
1,26,38,3734,1228
1,27,23,3653,1324
1,28,13,3559,1428
1,29,7,3465,1528
1,30,5,3381,1614
1,31,4,3281,1715
1,32,1,3195,1804
1,33,0,3109,1891
1,34,0,3012,1988
1,35,0,2936,2064
1,36,0,2857,2143
1,37,0,2780,2220
1,38,0,2712,2288
1,39,0,2648,2352
1,40,0,2581,2419
1,41,0,2513,2487
1,42,0,2453,2547
1,43,0,2376,2624
1,44,0,2319,2681
1,45,0,2257,2743
1,46,0,2204,2796
1,47,0,2156,2844
1,48,0,2099,2901
1,49,0,2037,2963
1,50,0,1972,3028
1,51,0,1919,3081
1,52,0,1867,3133
1,53,0,1816,3184
1,54,0,1760,3240
1,55,0,1703,3297
1,56,0,1641,3359
1,57,0,1589,3411
1,58,0,1553,3447
1,59,0,1518,3482
1,60,0,1474,3526
1,61,0,1432,3568
1,62,0,1403,3597
1,63,0,1368,3632
1,64,0,1336,3664
1,65,0,1290,3710
1,66,0,1260,3740
1,67,0,1220,3780
1,68,0,1191,3809
1,69,0,1157,3843
1,70,0,1118,3882
1,71,0,1091,3909
1,72,0,1062,3938
1,73,0,1028,3972
1,74,0,995,4005
1,75,0,961,4039
1,76,0,930,4070
1,77,0,904,4096
1,78,0,878,4122
1,79,0,853,4147
7,0,4999,1,0
7,1,4999,1,0
7,2,4999,1,0
7,3,4998,1,1
7,4,4998,1,1
7,5,4993,6,1
7,6,4991,8,1
7,7,4986,12,2
7,8,4976,21,3
7,9,4960,37,3
7,10,4940,57,3
7,11,4877,90,33
7,12,4776,160,64
7,13,4645,257,98
7,14,4485,381,134
7,15,4253,578,169
7,16,3942,847,211
7,17,3527,1216,257
7,18,3035,1658,307
7,19,2515,2114,371
7,20,1925,2637,438
7,21,1392,3096,512
7,22,947,3447,606
7,23,618,3670,712
7,24,394,3794,812
7,25,252,3827,921
7,26,149,3824,1027
7,27,93,3790,1117
7,28,60,3728,1212
7,29,42,3637,1321
7,30,27,3547,1426
7,31,16,3463,1521
7,32,10,3377,1613
7,33,8,3304,1688
7,34,4,3209,1787
7,35,4,3116,1880
7,36,3,3035,1962
7,37,1,2965,2034
7,38,1,2870,2129
7,39,0,2794,2206
7,40,0,2709,2291
7,41,0,2639,2361
7,42,0,2571,2429
7,43,0,2500,2500
7,44,0,2436,2564
7,45,0,2369,2631
7,46,0,2307,2693
7,47,0,2245,2755
7,48,0,2188,2812
7,49,0,2126,2874
7,50,0,2061,2939
7,51,0,2015,2985
7,52,0,1953,3047
7,53,0,1901,3099
7,54,0,1836,3164
7,55,0,1782,3218
7,56,0,1723,3277
7,57,0,1682,3318
7,58,0,1638,3362
7,59,0,1592,3408
7,60,0,1540,3460
7,61,0,1498,3502
7,62,0,1463,3537
7,63,0,1418,3582
7,64,0,1375,3625
7,65,0,1328,3672
7,66,0,1291,3709
7,67,0,1247,3753
7,68,0,1214,3786
7,69,0,1176,3824
7,70,0,1135,3865
7,71,0,1100,3900
7,72,0,1068,3932
7,73,0,1031,3969
7,74,0,998,4002
7,75,0,964,4036
7,76,0,932,4068
7,77,0,901,4099
7,78,0,874,4126
7,79,0,852,4148
18,0,4999,1,0
18,1,4998,2,0
18,2,4998,2,0
18,3,4996,4,0
18,4,4994,6,0
18,5,4992,8,0
18,6,4988,12,0
18,7,4984,15,1
18,8,4977,22,1
18,9,4969,30,1
18,10,4941,57,2
18,11,4879,88,33
18,12,4794,142,64
18,13,4690,213,97
18,14,4526,343,131
18,15,4302,525,173
18,16,3971,815,214
18,17,3588,1147,265
18,18,3119,1563,318
18,19,2551,2066,383
18,20,1992,2561,447
18,21,1434,3037,529
18,22,994,3396,610
18,23,639,3658,703
18,24,425,3769,806
18,25,285,3806,909
18,26,169,3820,1011
18,27,105,3787,1108
18,28,64,3733,1203
18,29,39,3657,1304
18,30,22,3581,1397
18,31,17,3489,1494
18,32,14,3401,1585
18,33,11,3320,1669
18,34,8,3237,1755
18,35,4,3154,1842
18,36,1,3082,1917
18,37,1,2999,2000
18,38,0,2923,2077
18,39,0,2841,2159
18,40,0,2769,2231
18,41,0,2696,2304
18,42,0,2628,2372
18,43,0,2563,2437
18,44,0,2489,2511
18,45,0,2431,2569
18,46,0,2356,2644
18,47,0,2303,2697
18,48,0,2245,2755
18,49,0,2191,2809
18,50,0,2128,2872
18,51,0,2068,2932
18,52,0,2015,2985
18,53,0,1946,3054
18,54,0,1888,3112
18,55,0,1839,3161
18,56,0,1792,3208
18,57,0,1739,3261
18,58,0,1693,3307
18,59,0,1652,3348
18,60,0,1606,3394
18,61,0,1557,3443
18,62,0,1513,3487
18,63,0,1467,3533
18,64,0,1419,3581
18,65,0,1372,3628
18,66,0,1336,3664
18,67,0,1291,3709
18,68,0,1256,3744
18,69,0,1209,3791
18,70,0,1173,3827
18,71,0,1142,3858
18,72,0,1105,3895
18,73,0,1068,3932
18,74,0,1033,3967
18,75,0,998,4002
18,76,0,978,4022
18,77,0,942,4058
18,78,0,910,4090
18,79,0,894,4106
4,0,4999,1,0
