id,time,S,I,R
0,0,4999,1,0
0,1,4998,2,0
0,2,4997,3,0
0,3,4995,5,0
0,4,4992,7,1
0,5,4984,13,3
0,6,4977,19,4
0,7,4966,30,4
0,8,4950,45,5
0,9,4913,82,5
0,10,4844,149,7
0,11,4719,241,40
0,12,4562,364,74
0,13,4354,534,112
0,14,4048,804,148
0,15,3624,1182,194
0,16,3110,1650,240
0,17,2516,2178,306
0,18,1955,2671,374
0,19,1386,3149,465
0,20,951,3484,565
0,21,605,3722,673
0,22,369,3867,764
0,23,225,3905,870
0,24,138,3876,986
0,25,82,3841,1077
0,26,52,3777,1171
0,27,31,3706,1263
0,28,16,3623,1361
0,29,11,3536,1453
0,30,9,3434,1557
0,31,4,3354,1642
0,32,1,3269,1730
0,33,1,3175,1824
0,34,0,3085,1915
0,35,0,2998,2002
0,36,0,2907,2093
0,37,0,2815,2185
0,38,0,2740,2260
0,39,0,2666,2334
0,40,0,2591,2409
0,41,0,2510,2490
0,42,0,2435,2565
0,43,0,2354,2646
0,44,0,2284,2716
0,45,0,2211,2789
0,46,0,2150,2850
0,47,0,2097,2903
0,48,0,2029,2971
0,49,0,1977,3023
0,50,0,1920,3080
0,51,0,1865,3135
0,52,0,1808,3192
0,53,0,1753,3247
0,54,0,1697,3303
0,55,0,1656,3344
0,56,0,1610,3390
0,57,0,1565,3435
0,58,0,1512,3488
0,59,0,1479,3521
0,60,0,1433,3567
0,61,0,1388,3612
0,62,0,1341,3659
0,63,0,1303,3697
0,64,0,1268,3732
0,65,0,1222,3778
0,66,0,1185,3815
0,67,0,1153,3847
0,68,0,1120,3880
0,69,0,1081,3919
0,70,0,1051,3949
0,71,0,1024,3976
0,72,0,991,4009
0,73,0,966,4034
0,74,0,934,4066
0,75,0,905,4095
0,76,0,882,4118
0,77,0,856,4144
0,78,0,832,4168
0,79,0,807,4193
14,0,4999,1,0
14,1,4995,5,0
14,2,4994,6,0
14,3,4990,10,0
14,4,4986,14,0
14,5,4979,21,0
14,6,4969,30,1
14,7,4944,55,1
14,8,4925,74,1
14,9,4877,120,3
14,10,4805,191,4
14,11,4643,319,38
14,12,4446,480,74
14,13,4172,716,112
14,14,3806,1036,158
14,15,3345,1445,210
14,16,2798,1932,270
14,17,2211,2447,342
14,18,1624,2965,411
14,19,1098,3401,501
14,20,733,3660,607
14,21,468,3830,702
14,22,297,3906,797
14,23,197,3893,910
14,24,116,3873,1011
14,25,75,3829,1096
14,26,41,3753,1206
14,27,28,3688,1284
14,28,18,3582,1400
14,29,13,3489,1498
14,30,6,3394,1600
14,31,4,3305,1691
14,32,3,3204,1793
14,33,2,3122,1876
14,34,0,3044,1956
14,35,0,2971,2029
14,36,0,2887,2113
14,37,0,2811,2189
14,38,0,2726,2274
14,39,0,2657,2343
14,40,0,2582,2418
14,41,0,2507,2493
14,42,0,2435,2565
14,43,0,2364,2636
14,44,0,2297,2703
