id,time,S,I,R
0,0,9999,1,0
0,1,9998,2,0
0,2,9996,4,0
0,3,9993,7,0
0,4,9990,10,0
0,5,9984,16,0
0,6,9975,25,0
0,7,9951,49,0
0,8,9922,77,1
0,9,9873,125,2
0,10,9806,190,4
0,11,9660,303,37
0,12,9437,489,74
0,13,9111,778,111
0,14,8665,1175,160
0,15,8039,1750,211
0,16,7185,2536,279
0,17,6140,3498,362
0,18,4907,4643,450
0,19,3698,5732,570
0,20,2588,6692,720
0,21,1731,7393,876
0,22,1066,7883,1051
0,23,673,8096,1231
0,24,398,8180,1422
0,25,222,8201,1577
0,26,128,8120,1752
0,27,77,7986,1937
0,28,46,7826,2128
0,29,32,7677,2291
0,30,24,7513,2463
0,31,14,7331,2655
0,32,9,7161,2830
0,33,6,7004,2990
0,34,3,6851,3146
0,35,2,6703,3295
0,36,2,6550,3448
0,37,2,6390,3608
0,38,1,6239,3760
0,39,1,6094,3905
0,40,1,5955,4044
0,41,0,5802,4198
0,42,0,5656,4344
0,43,0,5527,4473
0,44,0,5391,4609
0,45,0,5265,4735
0,46,0,5130,4870
0,47,0,5015,4985
0,48,0,4897,5103
0,49,0,4784,5216
0,50,0,4677,5323
0,51,0,4567,5433
0,52,0,4462,5538
0,53,0,4348,5652
0,54,0,4226,5774
0,55,0,4125,5875
0,56,0,4016,5984
0,57,0,3912,6088
0,58,0,3817,6183
0,59,0,3713,6287
0,60,0,3622,6378
0,61,0,3522,6478
0,62,0,3430,6570
0,63,0,3359,6641
0,64,0,3265,6735
0,65,0,3173,6827
0,66,0,3077,6923
0,67,0,2998,7002
0,68,0,2931,7069
0,69,0,2863,7137
0,70,0,2793,7207
0,71,0,2731,7269
0,72,0,2668,7332
0,73,0,2613,7387
0,74,0,2542,7458
0,75,0,2479,7521
0,76,0,2421,7579
0,77,0,2372,7628
0,78,0,2318,7682
0,79,0,2263,7737
16,0,9999,1,0
16,1,9997,3,0
16,2,9996,3,1
16,3,9991,8,1
16,4,9989,10,1
16,5,9982,17,1
16,6,9971,27,2
16,7,9961,37,2
16,8,9932,66,2
16,9,9897,99,4
16,10,9836,158,6
16,11,9698,265,37
16,12,9529,397,74
16,13,9284,609,107
16,14,8938,913,149
16,15,8370,1426,204
16,16,7699,2033,268
16,17,6823,2829,348
16,18,5692,3885,423
16,19,4476,5000,524
16,20,3285,6048,667
16,21,2240,6908,852
16,22,1441,7547,1012
16,23,914,7895,1191
16,24,553,8082,1365
16,25,350,8103,1547
16,26,199,8070,1731
16,27,111,7967,1922
16,28,70,7829,2101
16,29,41,7668,2291
16,30,23,7509,2468
16,31,15,7356,2629
16,32,13,7191,2796
16,33,7,7035,2958
16,34,5,6834,3161
16,35,4,6670,3326
16,36,3,6521,3476
16,37,2,6368,3630
16,38,2,6203,3795
16,39,1,6052,3947
16,40,0,5935,4065
16,41,0,5789,4211
16,42,0,5649,4351
16,43,0,5515,4485
16,44,0,5375,4625
16,45,0,5254,4746
16,46,0,5140,4860
16,47,0,5022,4978
16,48,0,4905,5095
16,49,0,4778,5222
16,50,0,4667,5333
16,51,0,4563,5437
16,52,0,4449,5551
16,53,0,4337,5663
16,54,0,4225,5775
16,55,0,4127,5873
16,56,0,4037,5963
16,57,0,3919,6081
16,58,0,3819,6181
16,59,0,3717,6283
16,60,0,3652,6348
16,61,0,3565,6435
16,62,0,3479,6521
16,63,0,3385,6615
16,64,0,3310,6690
16,65,0,3234,6766
16,66,0,3167,6833
16,67,0,3102,6898
16,68,0,3017,6983
16,69,0,2955,7045
16,70,0,2886,7114
16,71,0,2831,7169
16,72,0,2775,7225
16,73,0,2726,7274
16,74,0,2662,7338
16,75,0,2599,7401
16,76,0,2545,7455
16,77,0,2491,7509
16,78,0,2430,7570
16,79,0,2371,7629
3,0,9999,1,0
3,1,9999,0,1
3,2,9999,0,1
3,3,9999,0,1
3,4,9999,0,1
3,5,9999,0,1
3,6,9999,0,1
3,7,9999,0,1
3,8,9999,0,1
3,9,9999,0,1
3,10,9999,0,1
3,11,9969,0,31
3,12,9939,0,61
3,13,9909,0,91
3,14,9879,0,121
3,15,9849,0,151
3,16,9819,0,181
3,17,9789,0,211
3,18,9759,0,241
3,19,9729,0,271
3,20,9699,0,301
3,21,9669,0,331
3,22,9639,0,361
3,23,9609,0,391
3,24,9579,0,421
3,25,9549,0,451
3,26,9519,0,481
3,27,9489,0,511
3,28,9459,0,541
3,29,9429,0,571
3,30,9399,0,601
3,31,9369,0,631
3,32,9339,0,661
3,33,9309,0,691
3,34,9279,0,721
3,35,9249,0,751
3,36,9219,0,781
3,37,9189,0,811
3,38,9159,0,841
3,39,9129,0,871
3,40,9099,0,901
3,41,9069,0,931
3,42,9039,0,961
3,43,9009,0,991
3,44,8979,0,1021
3,45,8949,0,1051
3,46,8919,0,1081
3,47,8889,0,1111
3,48,8859,0,1141
3,49,8829,0,1171
3,50,8799,0,1201
3,51,8769,0,1231
3,52,8739,0,1261
3,53,8709,0,1291
3,54,8679,0,1321
3,55,8649,0,1351
3,56,8619,0,1381
3,57,8589,0,1411
3,58,8559,0,1441
3,59,8529,0,1471
3,60,8499,0,1501
3,61,8469,0,1531
3,62,8439,0,1561
3,63,8409,0,1591
3,64,8379,0,1621
3,65,8349,0,1651
3,66,8319,0,1681
3,67,8289,0,1711
3,68,8259,0,1741
3,69,8229,0,1771
3,70,8199,0,1801
3,71,8169,0,1831
3,72,8139,0,1861
3,73,8109,0,1891
3,74,8079,0,1921
3,75,8049,0,1951
3,76,8019,0,1981
3,77,7989,0,2011
3,78,7959,0,2041
3,79,7929,0,2071
17,0,9999,1,0
17,1,9999,1,0
17,2,9999,1,0
17,3,9999,1,0
17,4,9999,1,0
17,5,9999,1,0
17,6,9998,2,0
17,7,9998,2,0
17,8,9997,3,0
17,9,9995,4,1
17,10,9988,11,1
17,11,9948,20,32
17,12,9906,31,63
17,13,9856,50,94
17,14,9792,84,124
17,15,9711,134,155
17,16,9603,208,189
17,17,9450,328,222
17,18,9225,518,257
17,19,8891,811,298
17,20,8446,1205,349
17,21,7785,1805,410
17,22,6930,2604,466
17,23,5851,3593,556
17,24,4727,4610,663
17,25,3568,5650,782
17,26,2552,6516,932
17,27,1721,7191,1088
17,28,1073,7687,1240
17,29,668,7882,1450
17,30,429,7927,1644
17,31,284,7887,1829
17,32,181,7782,2037
17,33,112,7688,2200
17,34,71,7551,2378
17,35,50,7395,2555
17,36,30,7241,2729
17,37,21,7077,2902
17,38,10,6919,3071
17,39,7,6754,3239
17,40,7,6578,3415
17,41,4,6457,3539
17,42,1,6300,3699
17,43,0,6157,3843
17,44,0,5996,4004
17,45,0,5865,4135
17,46,0,5724,4276
17,47,0,5584,4416
17,48,0,5462,4538
17,49,0,5331,4669
17,50,0,5211,4789
17,51,0,5081,4919
17,52,0,4964,5036
17,53,0,4849,5151
17,54,0,4750,5250
17,55,0,4638,5362
17,56,0,4525,5475
17,57,0,4413,5587
17,58,0,4322,5678
17,59,0,4213,5787
17,60,0,4108,5892
17,61,0,4023,5977
17,62,0,3946,6054
17,63,0,3851,6149
17,64,0,3772,6228
17,65,0,3682,6318
17,66,0,3598,6402
17,67,0,3530,6470
17,68,0,3449,6551
17,69,0,3376,6624
17,70,0,3320,6680
17,71,0,3259,6741
17,72,0,3198,6802
17,73,0,3110,6890
17,74,0,3028,6972
17,75,0,2952,7048
17,76,0,2884,7116
17,77,0,2821,7179
17,78,0,2738,7262
17,79,0,2672,7328
2,0,9999,1,0
2,1,9997,3,0
2,2,9997,3,0
2,3,9994,6,0
2,4,9994,6,0
2,5,9987,13,0
2,6,9978,21,1
2,7,9969,30,1
2,8,9952,44,4
2,9,9919,75,6
2,10,9867,126,7
2,11,9770,192,38
2,12,9619,308,73
2,13,9421,472,107
2,14,9109,744,147
2,15,8682,1119,199
2,16,8113,1638,249
2,17,7278,2408,314
2,18,6233,3379,388
2,19,5035,4478,487
2,20,3766,5634,600
2,21,2617,6645,738
2,22,1730,7371,899
2,23,1108,7824,1068
2,24,693,8055,1252
2,25,383,8178,1439
2,26,242,8157,1601
2,27,156,8042,1802
2,28,99,7921,1980
2,29,55,7793,2152
2,30,41,7600,2359
2,31,27,7433,2540
2,32,20,7296,2684
2,33,15,7141,2844
2,34,8,6984,3008
2,35,4,6841,3155
2,36,3,6678,3319
2,37,2,6525,3473
2,38,1,6380,3619
2,39,1,6229,3770
2,40,1,6083,3916
2,41,1,5930,4069
2,42,1,5796,4203
2,43,0,5661,4339
2,44,0,5539,4461
2,45,0,5398,4602
2,46,0,5264,4736
2,47,0,5145,4855
2,48,0,5026,4974
2,49,0,4915,5085
2,50,0,4803,5197
2,51,0,4692,5308
2,52,0,4568,5432
2,53,0,4470,5530
2,54,0,4362,5638
2,55,0,4254,5746
2,56,0,4153,5847
2,57,0,4062,5938
2,58,0,3969,6031
2,59,0,3890,6110
2,60,0,3801,6199
2,61,0,3707,6293
2,62,0,3621,6379
