id,time,S,I,R
6,0,9999,1,0
6,1,9999,1,0
6,2,9997,3,0
6,3,9993,7,0
6,4,9988,12,0
6,5,9981,19,0
6,6,9969,29,2
6,7,9943,55,2
6,8,9910,87,3
6,9,9865,132,3
6,10,9765,227,8
6,11,9619,341,40
6,12,9376,547,77
6,13,9045,836,119
6,14,8590,1240,170
6,15,7929,1854,217
6,16,7025,2696,279
6,17,5992,3654,354
6,18,4787,4757,456
6,19,3541,5892,567
6,20,2470,6826,704
6,21,1621,7507,872
6,22,990,7962,1048
6,23,600,8173,1227
6,24,353,8217,1430
6,25,215,8181,1604
6,26,129,8079,1792
6,27,78,7952,1970
6,28,53,7775,2172
6,29,33,7609,2358
6,30,15,7448,2537
6,31,9,7284,2707
6,32,7,7110,2883
6,33,1,6956,3043
6,34,1,6800,3199
6,35,1,6652,3347
6,36,1,6487,3512
6,37,0,6359,3641
6,38,0,6223,3777
6,39,0,6087,3913
6,40,0,5956,4044
6,41,0,5801,4199
6,42,0,5666,4334
6,43,0,5527,4473
6,44,0,5408,4592
6,45,0,5273,4727
6,46,0,5128,4872
6,47,0,5006,4994
6,48,0,4897,5103
6,49,0,4778,5222
6,50,0,4654,5346
6,51,0,4547,5453
6,52,0,4439,5561
6,53,0,4338,5662
6,54,0,4231,5769
6,55,0,4125,5875
6,56,0,4019,5981
6,57,0,3941,6059
6,58,0,3852,6148
6,59,0,3761,6239
6,60,0,3679,6321
6,61,0,3598,6402
6,62,0,3512,6488
6,63,0,3431,6569
6,64,0,3358,6642
6,65,0,3267,6733
6,66,0,3188,6812
6,67,0,3111,6889
6,68,0,3027,6973
6,69,0,2960,7040
6,70,0,2908,7092
6,71,0,2828,7172
6,72,0,2757,7243
6,73,0,2698,7302
6,74,0,2635,7365
6,75,0,2580,7420
6,76,0,2530,7470
6,77,0,2470,7530
6,78,0,2418,7582
6,79,0,2359,7641
13,0,9999,1,0
13,1,9999,1,0
13,2,9998,2,0
13,3,9997,3,0
13,4,9995,5,0
13,5,9993,7,0
13,6,9989,10,1
13,7,9982,17,1
13,8,9975,22,3
13,9,9966,31,3
13,10,9952,44,4
13,11,9887,78,35
13,12,9813,121,66
13,13,9714,187,99
13,14,9576,291,133
13,15,9393,439,168
13,16,9098,693,209
13,17,8706,1040,254
13,18,8094,1599,307
13,19,7282,2349,369
13,20,6278,3257,465
13,21,5125,4315,560
13,22,3842,5477,681
13,23,2725,6452,823
13,24,1770,7278,952
13,25,1105,7755,1140
13,26,649,8029,1322
13,27,378,8122,1500
13,28,240,8065,1695
13,29,153,7952,1895
13,30,89,7841,2070
13,31,55,7701,2244
13,32,34,7530,2436
13,33,26,7371,2603
13,34,18,7197,2785
13,35,9,7041,2950
13,36,4,6867,3129
13,37,0,6723,3277
13,38,0,6570,3430
13,39,0,6422,3578
13,40,0,6277,3723
13,41,0,6125,3875
13,42,0,5960,4040
13,43,0,5817,4183
13,44,0,5695,4305
13,45,0,5557,4443
13,46,0,5422,4578
13,47,0,5288,4712
13,48,0,5155,4845
13,49,0,5034,4966
13,50,0,4907,5093
13,51,0,4800,5200
13,52,0,4700,5300
13,53,0,4577,5423
13,54,0,4460,5540
13,55,0,4360,5640
13,56,0,4277,5723
13,57,0,4170,5830
13,58,0,4081,5919
13,59,0,3986,6014
13,60,0,3908,6092
13,61,0,3805,6195
13,62,0,3704,6296
13,63,0,3623,6377
13,64,0,3535,6465
13,65,0,3454,6546
13,66,0,3363,6637
13,67,0,3281,6719
13,68,0,3212,6788
13,69,0,3136,6864
13,70,0,3055,6945
13,71,0,2982,7018
13,72,0,2914,7086
13,73,0,2842,7158
13,74,0,2782,7218
13,75,0,2728,7272
13,76,0,2660,7340
13,77,0,2604,7396
13,78,0,2539,7461
13,79,0,2477,7523
16,0,9999,1,0
16,1,9999,1,0
16,2,9999,1,0
16,3,9999,1,0
16,4,9999,1,0
16,5,9998,2,0
16,6,9998,2,0
16,7,9998,2,0
16,8,9997,3,0
16,9,9993,7,0
16,10,9990,10,0
16,11,9955,14,31
16,12,9913,26,61
16,13,9871,38,91
16,14,9825,53,122
16,15,9758,90,152
16,16,9680,138,182
16,17,9599,188,213
16,18,9461,293,246
16,19,9263,451,286
16,20,9004,672,324
16,21,8596,1041,363
16,22,8047,1532,421
16,23,7332,2182,486
16,24,6408,3035,557
16,25,5329,4039,632
16,26,4126,5129,745
16,27,3008,6095,897
16,28,2071,6872,1057
16,29,1396,7345,1259
16,30,885,7679,1436
16,31,568,7813,1619
16,32,365,7803,1832
16,33,224,7771,2005
16,34,139,7698,2163
16,35,84,7549,2367
16,36,51,7411,2538
16,37,31,7227,2742
16,38,22,7063,2915
16,39,14,6916,3070
16,40,8,6765,3227
16,41,5,6609,3386
16,42,5,6461,3534
16,43,4,6315,3681
16,44,2,6179,3819
16,45,2,6025,3973
16,46,1,5889,4110
16,47,1,5749,4250
16,48,1,5617,4382
16,49,1,5489,4510
16,50,1,5364,4635
16,51,1,5234,4765
16,52,0,5113,4887
16,53,0,4980,5020
16,54,0,4863,5137
16,55,0,4744,5256
16,56,0,4634,5366
16,57,0,4526,5474
16,58,0,4429,5571
16,59,0,4333,5667
16,60,0,4240,5760
16,61,0,4145,5855
16,62,0,4056,5944
16,63,0,3958,6042
16,64,0,3847,6153
16,65,0,3748,6252
16,66,0,3653,6347
16,67,0,3574,6426
16,68,0,3506,6494
16,69,0,3426,6574
16,70,0,3335,6665
16,71,0,3264,6736
16,72,0,3189,6811
16,73,0,3110,6890
16,74,0,3027,6973
16,75,0,2936,7064
16,76,0,2868,7132
16,77,0,2800,7200
16,78,0,2730,7270
16,79,0,2661,7339
17,0,9999,1,0
17,1,9998,2,0
17,2,9997,3,0
17,3,9994,6,0
17,4,9991,9,0
17,5,9988,12,0
17,6,9983,17,0
17,7,9975,24,1
17,8,9969,30,1
17,9,9956,42,2
17,10,9927,71,2
17,11,9858,108,34
17,12,9762,170,68
17,13,9639,260,101
17,14,9461,401,138
17,15,9233,588,179
17,16,8909,871,220
17,17,8440,1293,267
17,18,7771,1910,319
17,19,6885,2719,396
17,20,5824,3707,469
17,21,4581,4861,558
17,22,3423,5889,688
17,23,2361,6784,855
17,24,1535,7442,1023
17,25,944,7844,1212
17,26,585,8028,1387
17,27,360,8033,1607
17,28,221,7957,1822
17,29,130,7856,2014
17,30,82,7708,2210
17,31,54,7556,2390
17,32,40,7401,2559
17,33,22,7254,2724
17,34,11,7089,2900
17,35,6,6926,3068
17,36,3,6779,3218
17,37,2,6620,3378
17,38,2,6468,3530
17,39,1,6330,3669
17,40,0,6174,3826
17,41,0,6011,3989
17,42,0,5870,4130
17,43,0,5734,4266
17,44,0,5619,4381
17,45,0,5493,4507
17,46,0,5380,4620
17,47,0,5241,4759
17,48,0,5123,4877
17,49,0,5013,4987
17,50,0,4888,5112
17,51,0,4779,5221
17,52,0,4672,5328
17,53,0,4555,5445
17,54,0,4445,5555
17,55,0,4345,5655
17,56,0,4240,5760
17,57,0,4138,5862
17,58,0,4040,5960
17,59,0,3937,6063
17,60,0,3846,6154
17,61,0,3751,6249
17,62,0,3656,6344
17,63,0,3572,6428
17,64,0,3491,6509
17,65,0,3414,6586
17,66,0,3338,6662
17,67,0,3264,6736
17,68,0,3179,6821
17,69,0,3105,6895
17,70,0,3034,6966
17,71,0,2960,7040
17,72,0,2904,7096
17,73,0,2844,7156
17,74,0,2791,7209
17,75,0,2715,7285
17,76,0,2645,7355
17,77,0,2561,7439
17,78,0,2493,7507
17,79,0,2434,7566
12,0,9999,1,0
12,1,9998,2,0
12,2,9997,3,0
12,3,9993,7,0
12,4,9988,12,0
12,5,9979,21,0
12,6,9967,33,0
12,7,9945,55,0
12,8,9920,80,0
12,9,9877,122,1
12,10,9802,193,5
12,11,9664,298,38
12,12,9428,496,76
12,13,9085,801,114
12,14,8607,1232,161
12,15,7961,1821,218
12,16,7105,2599,296
12,17,6077,3556,367
12,18,4882,4645,473
12,19,3666,5755,579
12,20,2614,6684,702
12,21,1701,7435,864
12,22,1094,7853,1053
12,23,674,8102,1224
12,24,419,8165,1416
12,25,252,8139,1609
12,26,151,8038,1811
12,27,96,7910,1994
12,28,58,7750,2192
12,29,37,7600,2363
12,30,26,7452,2522
12,31,18,7286,2696
12,32,11,7119,2870
12,33,6,6963,3031
12,34,3,6807,3190
12,35,3,6665,3332
12,36,0,6509,3491
12,37,0,6344,3656
12,38,0,6201,3799
12,39,0,6063,3937
12,40,0,5928,4072
12,41,0,5801,4199
12,42,0,5669,4331
12,43,0,5557,4443
12,44,0,5419,4581
12,45,0,5308,4692
12,46,0,5189,4811
12,47,0,5059,4941
12,48,0,4930,5070
12,49,0,4815,5185
12,50,0,4701,5299
12,51,0,4570,5430
12,52,0,4462,5538
12,53,0,4349,5651
12,54,0,4254,5746
12,55,0,4138,5862
12,56,0,4042,5958
12,57,0,3948,6052
12,58,0,3859,6141
12,59,0,3776,6224
12,60,0,3669,6331
12,61,0,3593,6407
12,62,0,3508,6492
12,63,0,3421,6579
12,64,0,3346,6654
12,65,0,3257,6743
12,66,0,3170,6830
12,67,0,3092,6908
12,68,0,3020,6980
12,69,0,2951,7049
12,70,0,2894,7106
12,71,0,2838,7162
12,72,0,2752,7248
12,73,0,2694,7306
12,74,0,2635,7365
12,75,0,2570,7430
12,76,0,2516,7484
12,77,0,2446,7554
12,78,0,2394,7606
12,79,0,2326,7674
1,0,9999,1,0
1,1,9999,1,0
1,2,9999,1,0
1,3,9999,1,0
1,4,9997,3,0
1,5,9994,6,0
1,6,9990,10,0
1,7,9982,18,0
1,8,9969,31,0
1,9,9955,45,0
1,10,9921,79,0
1,11,9835,134,31
1,12,9726,213,61
1,13,9562,344,94
1,14,9347,525,128
1,15,8999,834,167
1,16,8525,1261,214
1,17,7871,1867,262
1,18,6989,2678,333
1,19,5861,3728,411
1,20,4652,4818,530
1,21,3456,5895,649
1,22,2408,6802,790
1,23,1555,7481,964
1,24,983,7906,1111
1,25,607,8084,1309
1,26,359,8157,1484
1,27,226,8108,1666
1,28,138,8022,1840
1,29,81,7889,2030
1,30,51,7743,2206
1,31,29,7592,2379
1,32,16,7430,2554
1,33,12,7294,2694
1,34,9,7133,2858
1,35,5,6985,3010
1,36,4,6812,3184
1,37,2,6673,3325
1,38,1,6552,3447
1,39,1,6426,3573
1,40,1,6269,3730
1,41,1,6103,3896
1,42,1,5967,4032
1,43,0,5854,4146
1,44,0,5729,4271
1,45,0,5590,4410
1,46,0,5443,4557
1,47,0,5342,4658
1,48,0,5240,4760
1,49,0,5110,4890
1,50,0,4990,5010
1,51,0,4877,5123
1,52,0,4771,5229
1,53,0,4654,5346
1,54,0,4555,5445
1,55,0,4448,5552
1,56,0,4353,5647
1,57,0,4262,5738
1,58,0,4137,5863
1,59,0,4042,5958
1,60,0,3952,6048
1,61,0,3857,6143
1,62,0,3768,6232
1,63,0,3679,6321
1,64,0,3584,6416
1,65,0,3488,6512
1,66,0,3415,6585
1,67,0,3332,6668
1,68,0,3240,6760
1,69,0,3159,6841
1,70,0,3074,6926
1,71,0,2994,7006
1,72,0,2929,7071
1,73,0,2861,7139
1,74,0,2802,7198
1,75,0,2729,7271
1,76,0,2675,7325
1,77,0,2608,7392
1,78,0,2543,7457
1,79,0,2486,7514
4,0,9999,1,0
4,1,9999,1,0
4,2,9997,3,0
4,3,9997,3,0
4,4,9996,4,0
4,5,9993,7,0
4,6,9988,12,0
4,7,9973,27,0
4,8,9952,48,0
4,9,9925,73,2
4,10,9877,120,3
4,11,9777,189,34
4,12,9649,282,69
4,13,9465,430,105
4,14,9189,668,143
4,15,8802,1004,194
4,16,8243,1520,237
4,17,7459,2244,297
4,18,6448,3179,373
4,19,5309,4220,471
4,20,4052,5352,596
4,21,2902,6358,740
4,22,1975,7146,879
4,23,1249,7694,1057
4,24,795,7983,1222
4,25,477,8126,1397
4,26,271,8166,1563
4,27,161,8066,1773
4,28,93,7965,1942
4,29,61,7821,2118
4,30,41,7667,2292
4,31,26,7492,2482
4,32,14,7337,2649
4,33,12,7166,2822
4,34,8,7004,2988
4,35,6,6835,3159
4,36,3,6665,3332
4,37,2,6519,3479
4,38,2,6369,3629
4,39,2,6209,3789
4,40,2,6055,3943
4,41,2,5893,4105
4,42,2,5763,4235
4,43,2,5613,4385
4,44,2,5497,4501
4,45,2,5347,4651
4,46,1,5224,4775
4,47,1,5115,4884
4,48,0,4991,5009
4,49,0,4874,5126
4,50,0,4751,5249
4,51,0,4641,5359
4,52,0,4525,5475
4,53,0,4419,5581
4,54,0,4302,5698
