id,time,S,I,R
3,0,9999,1,0
3,1,9999,1,0
3,2,9999,1,0
3,3,9997,3,0
3,4,9996,4,0
3,5,9994,5,1
3,6,9992,7,1
3,7,9985,14,1
3,8,9981,16,3
3,9,9976,21,3
3,10,9965,31,4
3,11,9921,45,34
3,12,9861,75,64
3,13,9783,123,94
3,14,9677,195,128
3,15,9525,314,161
3,16,9314,488,198
3,17,9002,766,232
3,18,8537,1187,276
3,19,7910,1756,334
3,20,7091,2514,395
3,21,6079,3436,485
3,22,4904,4516,580
3,23,3701,5592,707
3,24,2613,6532,855
3,25,1765,7226,1009
3,26,1135,7680,1185
3,27,692,7932,1376
3,28,419,8020,1561
3,29,247,7994,1759
3,30,159,7897,1944
3,31,95,7757,2148
3,32,72,7584,2344
3,33,42,7440,2518
3,34,28,7293,2679
3,35,21,7150,2829
3,36,16,6979,3005
3,37,9,6829,3162
3,38,6,6684,3310
3,39,3,6525,3472
3,40,2,6367,3631
3,41,1,6229,3770
3,42,1,6093,3906
3,43,1,5969,4030
3,44,1,5827,4172
3,45,1,5692,4307
3,46,1,5594,4405
3,47,1,5481,4518
3,48,0,5340,4660
3,49,0,5198,4802
3,50,0,5047,4953
3,51,0,4935,5065
3,52,0,4834,5166
3,53,0,4703,5297
3,54,0,4597,5403
3,55,0,4472,5528
3,56,0,4369,5631
3,57,0,4288,5712
3,58,0,4198,5802
3,59,0,4105,5895
3,60,0,4017,5983
3,61,0,3918,6082
3,62,0,3825,6175
3,63,0,3738,6262
3,64,0,3645,6355
3,65,0,3548,6452
3,66,0,3468,6532
3,67,0,3392,6608
3,68,0,3311,6689
3,69,0,3243,6757
3,70,0,3176,6824
3,71,0,3088,6912
3,72,0,3014,6986
3,73,0,2950,7050
3,74,0,2871,7129
3,75,0,2787,7213
3,76,0,2728,7272
3,77,0,2664,7336
3,78,0,2602,7398
3,79,0,2540,7460
15,0,9999,1,0
15,1,9998,2,0
15,2,9998,2,0
15,3,9998,2,0
15,4,9997,3,0
15,5,9994,6,0
15,6,9993,7,0
15,7,9989,11,0
15,8,9983,16,1
15,9,9974,24,2
15,10,9967,31,2
15,11,9913,54,33
15,12,9850,87,63
15,13,9762,144,94
15,14,9652,222,126
15,15,9484,355,161
